id;;;;;;;;;;;;;;;
colorNew;ГС;;;;m_8;;;;m_7;;;;m_38;;
69;Крючок. 5 шт;125 мм;0.26;;LWHK002;375;стальные;;LWHK002;375;стальные;;LWHK002;375;стальные
70;Крючок. 5 шт;125 мм;0.15;;LWHK001;215;стальные;;LWHK001;215;стальные;;LWHK001;215;стальные
71;Крючок;199х49х43 мм;0.06;0.04;LWHK006;215;стальной;;LWHK006;215;стальной;;LWHK006;215;стальной
81;Перекладина;2000 мм;0.88;0.13;L62R25CH200;425;хром;;L62R25CH200;425;хром;;L62R25CH200;425;хром
82;Перекладина;1240 мм;0.54;0.08;L62R25CH124;280;хром;;L62R25CH124;280;хром;;L62R25CH124;280;хром
83;Перекладина;940 мм;0.42;0.06;L62R25CH94;200;хром;;L62R25CH94;200;хром;;L62R25CH94;200;хром
84;Перекладина;640 мм;0.28;0.04;L62R25CH64;160;хром;;L62R25CH64;160;хром;;L62R25CH64;160;хром
86;Мелкосет. корзина;555x410x185 мм;12420;44287;L9560WH(N);1452;белая;;L9560GA(N);1452;серая;;L9560BL(N);1595;черная
87;Мелкосет. корзина;555x410x85 мм;43862;33970;L9559WH(N);960;белая;;L9559GA(N);960;серая;;L9559BL(N);1089;черная
88;Полка для обуви;603x404 мм;11324;;L9442WH;945;белая;;L9442GA;945;серая;;L9442BL;1089;черная
89;Полка для обуви;903x404 мм;43832;;L9443WH;1395;белая;;L9443GA;1395;серая;;L9443BL;Нет в наличии;черная
90;Выдвижная;410x555 мм;43922;;L9444WH;1045;белая;;L9444GA;1045;серая;;L9444BL;1144;черная
93;Мелкосет. корзина;555x410x85 мм;43862;33970;L9559WH(N);960;белая;;L9559GA(N);960;серая;;L9559BL(N);1089;черная
95;Корзина на трении;590x424x100 мм;0.95;43953;L9539WH;715;белая;;L9539GA;715;серая;;L9539BL;Нет в наличии;черная
96;Соединитель для перекладины;38x27x27 мм;0.03;0;L9703;105;черный;;L9703;105;черный;;L9703;105;черный
98;Рама. 3 уровня;565x435x350 мм;44958;43990;LWS3FWH(N);1600;белая;;LWS3FGA(N);1600;серая;;LWS3FBL(N);Нет в наличии;черная
100;Мелкосет. корзина;555x410x185 мм;12420;44287;L9560WH(N);1452;белая;;L9560GA(N);1452;серая;;L9560BL(N);1595;черная
107;Крепление для ЛДСП полки;80x70x15;0.05;0.01;L9706WH;200;белое;;L9706GA;200;серое;;L9706BL;Нет в наличии;черное
108;Декоративная заглушка;421x17x8 мм;0.07;0.01;L6176WH;195;белая;;L6176GA;195;серая;;L6176BL;205;черная
109;Декоративная заглушка;321x17x8 мм;0.05;0;L6175WH;185;белая;;L6175GA;185;серая;;L6175BL;Нет в наличии;черная
110;Ограничители для корзин;30x37x12 мм;0.02;0;L6172;132;красный;;L6172;132;красный;;L6172;132;красный
166;Соединители для стойки;113х13х12 мм;0.07;0;L9711WH;121;белый;;L9711GA;121;серый;;L9711BL;133;черный
214;Мелкосетчатая полка;590х420х15 мм;43831;0.04;L99M64WH;1010;белая;;L99M64GA;1010;серая;;L99M64BL;1095;черная
215;Мелкосетчатая полка;890х420х15 мм;20090;0.06;L99M94WH;1200;белая;;L99M94GA;1200;серая;;L99M94BL;1325;черная
238;Держатель для перекладины;293 мм;200;0,1;L9231WH;385;белый;;L9231GA;385;серый;;L9231BL;420;черный
242;Боковой ограничитель;190x105 мм;200;0,1;L9717WH;200;белый;;L9717GA;200;серый;;L9717BL;200;черный
243;Разделитель для сет. полки;400 мм;200;0,1;L9713-400WH;270;белый;;L9713-400GA;270;серый;;L9713-400BL;270;черный
244;Разделитель для сет. полки;300 мм;200;0,1;L9713-300WH;250;белый;;L9713-300GA;250;серый;;L9713-300BL;250;черный
246;Поперечная штанга;400 мм;200;0,1;L9707CH-400;350;хром;;L9707CH-400;350;хром;;L9707CH-400;350;хром
247;Поперечная штанга;300 мм;200;0,1;L9707CH-300;300;хром;;L9707CH-300;300;хром;;L9707CH-300;300;хром
235;Боковая вешалка;308 мм;200;0,1;L9718-300WH;420;белый;;L9718-300GA;420;серый;;L9718-300BL;420;черный
236;Боковая вешалка;408 мм;200;0,1;L9718-400WH;550;белый;;L9718-400GA;550;серый;;L9718-400BL;550;черный
177;Телескоп. направляющая;375 мм;200;0,1;L9603-400;505;сталь;;L9603-400;505;сталь;;L9603-400;505;сталь
178;Пластиковые фиксаторы;20х26х20 мм;200;0,1;L9603HWH;120;белый;;L9603HGA;120;серый;;L9603HBL;120;черный
14;NOT USING;нужны для цвета;;;;0;0;0;0;0;0;0;0;0;0
237;NOT USING;237;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный
248;NOT USING;248;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный
249;NOT USING;249;200;0,1;0;1111;белый;;0;1111;серый;;0;1111;черный
colorNew;Шкафы ХОФФ;;;;m_39;;;;m_40;;;;;;
186;0;0;0;;0;0;0;;0;0;0;;;;
197;Корпус шкафа;500х2360х580 мм;1;1;80339004;14599;дуб Сонома;;80339003;24599;белый;;;;
198;Корпус шкафа;750х2360х580 мм;1;1;80339007;4999;дуб Сонома;;80339006;4999;белый;;;;
199;Корпус шкафа;1000х2360х580 мм;1;1;80339010;4999;дуб Сонома;;80339009;4999;белый;;;;
266;Корпус шкафа;1000х2360х580 мм;1;1;80339010;99;дуб Сонома;;80339009;49;белый;;;;
263;Корпус шкафа;1000х2360х580 мм;1;1;80339010;33;дуб Сонома;;80339009;332;белый;;;;
209;0;0;1;1;0;0;0;;0;0;0;;;;
218;Полка ЛДСП;468x576x16 мм;1;1;80339031;350;дуб Сонома;;80339030;350;белый;;;;
219;Полка ЛДСП;718x576x16 мм;1;1;80350110;450;дуб Сонома;;80339033;450;белый;;;;
220;Полка ЛДСП;968x576x16 мм;1;1;80350113;600;дуб Сонома;;80339036;600;белый;;;;
212;Держатель для штанги;25 мм;1;1;no article;50;хром;;no article;50;хром;;;;
211;Перекладина;1240 мм;1;1;L62R25CH124;280;хром;;L62R25CH124;280;хром;;;;
colorNew;Наполнение;;;;m_8;;;;m_7;;;;;;
185;189/191/193 Хранитель;0;;;0;0;0;;0;0;0;;;;
189;Проволочная полка;462x556 мм;1;1;L9955WH;629;белый;;L9955GA;629;серый;;;;
191;Проволочная полка;715x556 мм;1;1;L9975WH;1053;белый;;L9975GA;1053;серый;;;;
193;Проволочная полка;962x556 мм;1;1;L99105WH;1406;белый;;L99105GA;1406;серый;;;;
200;201/202/203 Хранитель;0;;;0;0;0;;0;0;0;;;;
202;Проволочная корзина;393х555x185 мм;1;1;L95518WH;1670;белый;;L95518GA;1670;серый;;;;
203;Проволочная корзина;643х555x185 мм;1;1;L95718WH;2240;белый;;L95718GA;2240;серый;;;;
201;Проволочная корзина;893х555x185 мм;1;1;L951018WH;2860;белый;;L951018GA;2860;серый;;;;
187;Пласт. держ. для пров. полки;20x20x20 мм;1;1;L99HWH;135;белый;;L99HGA;135;серый;;;;
204;Телескопические направляющие;250x85x40 мм;1;1;L9603-550FE-WH;1122;белый;;L9603-550FE-GA;1122;серый;;;;
221;224/223/222 Хранитель;0;;;0;0;0;;0;0;0;;;;
224;Проволочная корзина;393х555x85 мм;1;1;L95508WH;1197;белый;;L95508GA;1197;серый;;;;
223;Проволочная корзина;643х555x85 мм;1;1;L95708WH;1705;белый;;L95708GA;1705;серый;;;;
222;Проволочная корзина;893х555x85 мм;1;1;L951008WH;2203;белый;;L951008GA;2203;серый;;;;
225;228/227/226 Хранитель;0;;;0;0;0;;0;0;0;;;;
228;Проволочная обувница;393х555x130 мм;1;1;L9455WH;1220;белый;;L9455GA;1220;серый;;;;
227;Проволочная обувница;643х555x130 мм;1;1;L9475WH;1690;белый;;L9475GA;1690;серый;;;;
226;Проволочная обувница;893х555x130 мм;1;1;L94105WH;2115;белый;;L94105GA;2115;серый;;;;
229;232/231/230 Хранитель;0;;;0;0;0;;0;0;0;;;;
230;Сетчатая корзина;393х555x85 мм;1;1;L95M508WH;1390;белый;;L95M508GA;1390;серый;;;;
231;Сетчатая корзина;643х555x85 мм;1;1;L95M708WH;1835;белый;;L95M708GA;1835;серый;;;;
232;Сетчатая корзина;893х555x85 мм;1;1;L95M1008WH;2402;белый;;L95M1008GA;2402;серый;;;;
254;257/256/255 Хранитель;0;;;0;0;0;;0;0;0;;;;
255;Сетчатая корзина;393х555x185 мм;1;1;L95M518WH;1850;белый;;L95M518GA;1850;серый;;;;
256;Сетчатая корзина;643х555x185 мм;1;1;L95M718WH;2305;белый;;L95M718GA;2305;серый;;;;
257;Сетчатая корзина;893х555x185 мм;1;1;L95M1018WH;3045;белый;;L95M1018GA;3045;серый;;;;
258;261/260/259 Хранитель;0;;;0;0;0;;0;0;0;;;;
259;Брючница;393х555 мм;1;1;L9655WH;1140;белый;;L9655GA;1140;серый;;;;
260;Брючница;643х555 мм;1;1;L9675WH;1528;белый;;L9675GA;1528;серый;;;;
261;Брючница;893х555 мм;1;1;L96105WH;2038;белый;;L96105GA;2038;серый;;;;
