артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;450;Белый;2;900;50;
L9810WH;Рельс для крепления стойки ;1000 мм;306;Белый;1;306;46;
L9120WH;Стойка;1955 мм;504;Белый;7;3528;49;
L9240WH;Кронштейн для полки ;406 мм;181;белый;12;2172;23;
L9230WH;Кронштейн для полки ;306 мм;119;белый;2;238;32;
L9994WH;Сеточная полка ;903x406 мм;657;белая;2;1314;44;
L9964WH;Сеточная полка;603x406 мм;495;белая;10;4950;24;
L9601WH;Выдвижная рама;597x425 мм;1395;белая;13;18135;55;
L99123WH;Сеточная полка ;1203x306 мм;792;белая;1;792;43;
L9602WH;Брючница;597x425 мм;1620;белая;1;1620;54;
L9443WH;Полка для обуви;903x404 мм;927;белая;1;927;89;
L9444WH;Выдвижная;410x555 мм;707;белая;3;2121;90;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1035;белая;3;3105;86;
L9530WH(N);Сет. корзина;555x410x185 мм;630;белая;3;1890;60;
L9559WH(N);Мелкосет. корзина;555x410x85 мм;621;белая;4;2484;87;
L9701WH;Крон. для перекладины;25 мм;29;белый;3;87;38;
L62R25CH94;Перекладина;940 мм;170;хром;1;170;83;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L62R25CH64;Перекладина;640 мм;130;хром;1;130;84;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;13;1495;108;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;1;105;109;
L9529WH(N);Сеточная корзина;410x555x85 мм;473;белая;1;473;20;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;1;75;96;
;;;;;;47116;
