артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;7;2380;46;
L9111WH;Стойка;1156 мм;430;Белый;11;4730;47;
L9120WH;Стойка;1955 мм;560;Белый;3;1680;49;
L9115WH;стойка;1506 мм;480;Белый;1;480;48;
L9240WH;Кронштейн для полки ;406 мм;201;белый;11;2211;23;
L9230WH;Кронштейн для полки ;306 мм;132;белый;23;3036;32;
L99S64WH;Метал. полка;595x420 мм;770;белая;5;3850;53;
L99S63WH;Метал. полка;595x320 мм;670;белая;5;3350;61;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;9;13950;55;
L9963WH;Сеточная полка;603x306 мм;480;белая;8;3840;42;
L99G64WH;Перфопанель;585x155 мм;500;белая;4;2000;39;
L99124WH;Сеточная полка ;1203x406 мм;1050;белая;1;1050;35;
L9964WH;Сеточная полка;603x406 мм;550;белая;1;550;24;
L9549WH;Полка-корзина;604x406x118 мм;820;белая;1;820;51;
L9547WH;Полка-корзина;604x306x118 мм;650;белая;1;650;57;
L9559WH(N);Мелкосет. корзина;555x410x85 мм;690;белая;3;2070;87;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;1;1150;86;
L9529WH(N);Сет. корзина;555x410x85 мм;525;белая;1;525;59;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;4;2800;60;
L9701WH;Крон. для перекладины;25 мм;32;белый;2;64;38;
L62R25CH64;Перекладина;640 мм;130;хром;1;130;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;11;1265;108;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;9;945;109;
;;;;;;53625;
