артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9120WH;Стойка;1955 мм;560;Белый;3;1680;49;
L9240WH;Кронштейн для полки ;406 мм;201;белый;14;2814;23;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;2;3100;55;
L9964WH;Сеточная полка;603x406 мм;550;белая;2;1100;24;
L99S64WH;Метал. полка;595x420 мм;770;белая;3;2310;53;
L9442WH;Полка для обуви;603x404 мм;700;белая;4;2800;88;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;2;2300;86;
L9701WH;Крон. для перекладины;25 мм;32;белый;2;64;38;
L62R25CH64;Перекладина;640 мм;130;хром;1;130;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;7;805;108;
;;;;;;17702;
