артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;2;680;46;
L9111WH;Стойка;1156 мм;430;Белый;3;1290;47;
L9240WH;Кронштейн для полки ;406 мм;201;белый;5;1005;23;
L9994WH;Сеточная полка ;903x406 мм;730;белая;3;2190;44;
L9701WH;Крон. для перекладины;25 мм;32;белый;5;160;38;
L62R25CH94;Перекладина;940 мм;170;хром;3;510;83;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;2;198;36;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;1;75;96;
LWS5FWH(N);Рама. 5 уровней;565x435x550 мм;1600;белая;1;1600;25;
L9530WH(N);Сеточная корзина;410x555x185 мм;700;белая;1;700;22;
;;;;;;8408;
