артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9711WH;Соединители для стойки;113х13х12 мм;90;белый;2;135;166;
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9120WH;Стойка;1955 мм;560;Белый;3;1680;49;
L9111WH;Стойка;1156 мм;430;Белый;3;1290;47;
L9240WH;Кронштейн для полки ;406 мм;201;белый;5;1005;23;
L9230WH;Кронштейн для полки ;306 мм;132;белый;10;1320;32;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;2;3100;55;
L99S64WH;Метал. полка;595x420 мм;770;белая;1;770;53;
L99S63WH;Метал. полка;595x320 мм;670;белая;5;3350;61;
L9547WH;Полка-корзина;604x306x118 мм;650;белая;1;650;57;
L9964WH;Сеточная полка;603x406 мм;550;белая;2;1100;24;
L99G64WH;Перфопанель;585x155 мм;500;белая;2;1000;39;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;1;1150;86;
L9559WH(N);Мелкосет. корзина;555x410x85 мм;690;белая;1;690;87;
L9701WH;Крон. для перекладины;25 мм;32;белый;3;96;38;
L62R25CH64;Перекладина;640 мм;130;хром;2;260;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;3;345;108;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;4;420;109;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;1;75;96;
;;;;;;19035;
