артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;2;1000;50;
L9120WH;Стойка;1955 мм;560;Белый;5;2800;49;
L9115WH;стойка;1506 мм;480;Белый;1;480;48;
L9230WH;Кронштейн для полки ;306 мм;132;белый;9;1188;32;
L9240WH;Кронштейн для полки ;406 мм;201;белый;7;1407;23;
L9963WH;Сеточная полка;603x306 мм;480;белая;5;2400;42;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;4;6200;55;
L9964WH;Сеточная полка;603x406 мм;550;белая;1;550;24;
L9994WH;Сеточная полка ;903x406 мм;730;белая;3;2190;44;
L9602WH;Брючница;597x425 мм;1800;белая;1;1800;54;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;4;4600;86;
L9701WH;Крон. для перекладины;25 мм;32;белый;4;128;38;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;2;198;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;7;805;108;
L6175WH;Декоративная заглушка;321x17x8 мм;2105;белая;3;6315;109;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;2;150;96;
;;;;;;32211;
