артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9711WH;Соединители для стойки;113х13х12 мм;90;белый;4;360;166;
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;2;1000;50;
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;2;680;46;
L9120WH;Стойка;1955 мм;560;Белый;9;5040;49;
L9111WH;Стойка;1156 мм;430;Белый;9;3870;47;
L9240WH;Кронштейн для полки ;406 мм;180;белый;29;5220;23;
L9340WH;Кронштейны для корзин;603x406 мм;730;белый;5;3650;34;
L9350WH;Двусторонний кронштейн;603x406 мм;540;Белый;1;540;33;
L9964WH;Сеточная полка;603x406 мм;495;белая;24;11880;24;
L99124WH;Сеточная полка ;1203x406 мм;945;белая;1;945;35;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;7;10850;55;
L9444WH;Выдвижная;410x555 мм;785;белая;6;4710;90;
L9540WH;Корзина на трении;590x424x180 мм;700;белая;6;4200;31;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;1;700;60;
L9701WH;Крон. для перекладины;25 мм;32;белый;7;224;38;
L62R25CH64;Перекладина;640 мм;130;хром;5;650;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;2;198;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;15;1725;108;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;3;225;96;
L6172;Ограничители для корзин;30x37x12 мм;90;красный;6;540;110;
;;;;;;57207;
