артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;2;680;46;
L9120WH;Стойка;1955 мм;560;Белый;4;2240;49;
L9240WH;Кронштейн для полки ;406 мм;201;белый;12;2412;23;
L99124WH;Сеточная полка ;1203x406 мм;1050;белая;1;1050;35;
L9549WH;Полка-корзина;604x406x118 мм;820;белая;2;1640;51;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;3;4650;55;
L99S64WH;Метал. полка;595x420 мм;770;белая;3;2310;53;
L9442WH;Полка для обуви;603x404 мм;700;белая;2;1400;88;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;2;2300;86;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;1;700;60;
L9701WH;Крон. для перекладины;25 мм;32;белый;2;64;38;
L62R25CH124;Перекладина;1240 мм;220;хром;1;220;82;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;6;690;108;
;;;;;;20455;
