артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9111WH;Стойка;1156 мм;430;Белый;3;1290;47;
L9096WH;Кронштейн для ЛДСП;130 мм;330;Белый;1;330;40;
L9240WH;Кронштейн для полки ;406 мм;201;белый;1;201;23;
LWWH406;ЛДСП полка;585x406x16 мм;500;белая;1;500;41;
L9964WH;Сеточная полка;603x406 мм;550;белая;1;550;24;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;2;3100;55;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;1;1150;86;
L9559WH(N);Мелкосет. корзина;555x410x85 мм;690;белая;1;690;87;
L9701WH;Крон. для перекладины;25 мм;32;белый;2;64;38;
L62R25CH64;Перекладина;640 мм;130;хром;1;130;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;1;115;108;
;;;;;;8719;
