артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;2;680;46;
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9120WH;Стойка;1955 мм;560;Белый;4;2240;49;
L9115WH;стойка;1506 мм;480;Белый;2;960;48;
L9240WH;Кронштейн для полки ;406 мм;180;белый;14;2520;23;
L9230WH;Кронштейн для полки ;306 мм;118;белый;2;236;32;
L9994WH;Сеточная полка ;903x406 мм;657;белая;2;1314;44;
L9964WH;Сеточная полка;603x406 мм;495;белая;7;3465;24;
L9602WH;Брючница;597x425 мм;1800;белая;1;1800;54;
L9963WH;Сеточная полка;603x306 мм;432;белая;1;432;42;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;8;12400;55;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;6;4200;60;
L9529WH(N);Сет. корзина;555x410x85 мм;525;белая;2;1050;59;
L9701WH;Крон. для перекладины;25 мм;32;белый;7;224;38;
L62R25CH94;Перекладина;940 мм;170;хром;2;340;83;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;2;198;36;
L62R25CH64;Перекладина;640 мм;130;хром;3;390;84;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;13;1495;108;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;1;105;109;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;3;225;96;
;;;;;;34774;
