артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9711GA;Соединители для стойки;113х13х12 мм;90;серый;3;225;166;
L9821GA;Рельс для крепления стойки ;1560 мм;495;Серый;1;495;50;
L9810GA;Рельс для крепления стойки ;1000 мм;315;Серый;1;315;46;
L9120GA;Стойка;1955 мм;540;Серый;5;2700;49;
L9111GA;Стойка;1156 мм;428;Серый;5;2140;47;
L9240GA;Кронштейн для полки ;406 мм;189;серый;9;1701;23;
L9964GA;Сеточная полка;603x406 мм;540;серая;2;1080;24;
L99124GA;Сеточная полка ;1203x406 мм;945;серая;1;945;35;
L9601GA;Выдвижная рама;597x425 мм;1395;серая;15;20925;55;
L9602GA;Брючница;597x425 мм;1710;серая;1;1710;54;
L9549GA;Полка-корзина;604x406x118 мм;765;серая;5;3825;51;
L99S64GA;Метал. полка;595x420 мм;747;серая;2;1494;53;
L9530GA(N);Сет. корзина;555x410x185 мм;698;серая;4;2792;60;
L9444GA;Выдвижная;410x555 мм;743;серая;1;743;90;
L9560GA(N);Мелкосет. корзина;555x410x185 мм;1035;серая;10;10350;86;
L9701GA;Крон. для перекладины;25 мм;32;серый;4;128;38;
L62R25CH124;Перекладина;1240 мм;221;хром;1;221;82;
L9702CH;Торцевые заглушки;N;99;N;2;198;36;
L62R25CH64;Перекладина;640 мм;126;хром;1;126;84;
L6176GA;Декоративная заглушка;421x17x8 мм;113;серая;14;1582;108;
;;;;;;53695;
