артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;315;Белый;1;315;46;
L9111WH;Стойка;1156 мм;428;Белый;2;856;47;
L9240WH;Кронштейн для полки ;406 мм;189;белый;6;1134;23;
L9442WH;Полка для обуви;603x404 мм;675;белая;3;2025;88;
L6176WH;Декоративная заглушка;421x17x8 мм;113;белая;3;339;108;
;;;;;;4669;
