артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;2;680;46;
L9120WH;Стойка;1955 мм;560;Белый;4;2240;49;
L9240WH;Кронштейн для полки ;406 мм;201;белый;14;2814;23;
L9964WH;Сеточная полка;603x406 мм;550;белая;2;1100;24;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;3;4650;55;
L99S64WH;Метал. полка;595x420 мм;770;белая;3;2310;53;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;3;3450;86;
L9442WH;Полка для обуви;603x404 мм;700;белая;4;2800;88;
L9701WH;Крон. для перекладины;25 мм;32;белый;3;96;38;
L62R25CH64;Перекладина;640 мм;130;хром;2;260;84;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;7;805;108;
L9703;Соединитель для перекладины;38x27x27 мм;75;черный;1;75;96;
;;;;;;21379;
