артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;1;500;50;
L9120WH;Стойка;1955 мм;560;Белый;3;1680;49;
L9240WH;Кронштейн для полки ;406 мм;201;белый;18;3618;23;
L9340WH;Кронштейны для корзин;603x406 мм;730;белый;4;2920;34;
L9964WH;Сеточная полка;603x406 мм;550;белая;9;4950;24;
L9994WH;Сеточная полка ;903x406 мм;730;белая;4;2920;44;
L9550WH;Полка-корзина;904x406x118 мм;1000;белая;1;1000;52;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;1;1550;55;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;1;1150;86;
L9540WH;Корзина на трении;590x424x180 мм;700;белая;4;2800;31;
L9701WH;Крон. для перекладины;25 мм;32;белый;2;64;38;
L62R25CH94;Перекладина;940 мм;170;хром;1;170;83;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;9;1035;108;
L6172;Ограничители для корзин;30x37x12 мм;90;красный;4;360;110;
;;;;;;24816;
