артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9821WH;Рельс для крепления стойки ;1560 мм;450;Белый;2;900;50;
L9111WH;Стойка;1156 мм;387;Белый;2;774;47;
L9120WH;Стойка;1955 мм;504;Белый;3;1512;49;
L9240WH;Кронштейн для полки ;406 мм;181;белый;15;2715;23;
L9340WH;Кронштейны для корзин;603x406 мм;657;белый;2;1314;34;
L9350WH;Двусторонний кронштейн;603x406 мм;486;Белый;2;972;33;
L9964WH;Сеточная полка;603x406 мм;495;белая;14;6930;24;
L9994WH;Сеточная полка ;903x406 мм;657;белая;1;657;44;
L99G94WH;Перфопанель;890x155 мм;594;белый;1;594;58;
L9540WH;Корзина на трении;590x424x180 мм;630;белая;4;2520;31;
L9701WH;Крон. для перекладины;25 мм;29;белый;2;58;38;
L62R25CH94;Перекладина;940 мм;170;хром;1;170;83;
L9702CH;Торцевые заглушки;2 штуки в комплекте;99;Хром;1;99;36;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;4;460;108;
LWHK004;Крючок. 5 шт;40x50x4 мм;159;xz;1;159;67;
LWHK003;Крючок. 5 шт;37х8х14 мм;251;xz;1;251;68;
L6172;Ограничители для корзин;30x37x12 мм;90;красный;4;360;110;
;;;;;;20445;
