артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9810WH;Рельс для крепления стойки ;1000 мм;340;Белый;6;2040;46;
L9821WH;Рельс для крепления стойки ;1560 мм;500;Белый;2;1000;50;
L9111WH;Стойка;1156 мм;430;Белый;14;6020;47;
L9096WH;Кронштейн для ЛДСП;130 мм;330;Белый;4;1320;40;
L9230WH;Кронштейн для полки ;306 мм;118;белый;2;236;32;
L9601WH;Выдвижная рама;597x425 мм;1550;белая;7;10850;55;
LWWH306;ЛДСП полка;585x306x16 мм;375;белая;3;1125;64;
L9602WH;Брючница;597x425 мм;1800;белая;1;1800;54;
LWWH406;ЛДСП полка;585x406x16 мм;500;белая;1;500;41;
L99G94WH;Перфопанель;890x155 мм;660;белый;1;660;58;
L9529WH(N);Сет. корзина;555x410x85 мм;525;белая;1;525;59;
L9560WH(N);Мелкосет. корзина;555x410x185 мм;1150;белая;2;2300;86;
L9444WH;Выдвижная;410x555 мм;785;белая;2;1570;90;
L9438WH;Полка для обуви;603x306x80 мм;550;белая;1;550;56;
L9559WH(N);Мелкосет. корзина;555x410x85 мм;690;белая;1;690;87;
L9530WH(N);Сет. корзина;555x410x185 мм;700;белая;1;700;60;
L6176WH;Декоративная заглушка;421x17x8 мм;115;белая;7;805;108;
L6175WH;Декоративная заглушка;321x17x8 мм;105;белая;1;105;109;
LWHK005;Крючок. 3 шт;110x40x68 мм;159;стальные;2;318;66;
LWHK003;Крючок. 5 шт;37х8х14 мм;251;стальные;1;251;68;
LWHK002;Крючок. 5 шт;125 мм;295;стальные;2;590;69;
LWHK001;Крючок. 5 шт;125 мм;160;стальные;1;160;70;
;;;;;;34115;
