артикул;название;размер;цена;цвет;кол.;общая цена;id БД
L9711GA;Соединители для стойки;113х13х12 мм;90;серый;2;180;166;
L9810GA;Рельс для крепления стойки ;1000 мм;340;Серый;2;680;46;
L9821GA;Рельс для крепления стойки ;1560 мм;500;Серый;2;1000;50;
L9111GA;Стойка;1156 мм;430;Серый;6;2580;47;
L9120GA;Стойка;1955 мм;560;Серый;7;3920;49;
L9240GA;Кронштейн для полки ;406 мм;180;серый;30;5400;23;
L9230GA;Кронштейн для полки ;306 мм;118;серый;19;2242;32;
L9340GA;Кронштейны для корзин;603x406 мм;730;серый;2;1460;34;
L9601GA;Выдвижная рама;597x425 мм;1550;серая;6;9300;55;
L9993GA;Сеточная полка ;903x306 мм;576;серая;6;3456;30;
L9963GA;Сеточная полка;603x306 мм;432;серая;1;432;42;
L99S63GA;Метал. полка;595x320 мм;670;серая;3;2010;61;
L9964GA;Сеточная полка;603x406 мм;495;серая;7;3465;24;
L9994GA;Сеточная полка ;903x406 мм;657;серая;6;3942;44;
L99S64GA;Метал. полка;595x420 мм;770;серая;1;770;53;
L9549GA;Полка-корзина;604x406x118 мм;820;серая;2;1640;51;
L9560GA(N);Мелкосет. корзина;555x410x185 мм;1150;серая;5;5750;86;
L9530GA(N);Сет. корзина;555x410x185 мм;700;серая;1;700;60;
L9539GA;Корзина на трении;590x424x100 мм;540;серая;2;1080;95;
L9443GA;Полка для обуви;903x404 мм;1030;серая;4;4120;89;
L9701GA;Крон. для перекладины;25 мм;32;серый;4;128;38;
L62R25CH94;Перекладина;940 мм;170;хром;2;340;83;
L9702CH;Торцевые заглушки;N;99;N;2;198;36;
L6176GA;Декоративная заглушка;421x17x8 мм;115;серая;16;1840;108;
L6175GA;Декоративная заглушка;321x17x8 мм;105;серая;9;945;109;
L6172;Ограничители для корзин;30x37x12 мм;90;красный;2;180;110;
;;;;;;57758;
