id;Описание;Размер;запас;запас;Артикул белого;Цена белого;из текст;запас;Артикул серого;Цена серого;из текст;запас;Артикул серого;Цена черного;из текст;запас;;;
;;;;;m_8;;;;m_7;;;;m_38;;;;;;
83;Перекладина;940 мм;;;L62R25CH94;75;хром;;L62R25CH94;75;хром;;L62R25CH94;75;хром;;;;
84;Перекладина;640 мм;;;L62R25CH64;53;хром;;L62R25CH64;53;хром;;L62R25CH64;53;хром;;;;
86;Мелкосет. Корзина;555x410x185 мм;;;L9560WH(N);467;белая;;L9560GA(N);467;серая;;L9560BL(N);538;черная;;;;
87;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);362;белая;;L9559GA(N);362;серая;;L9559BL(N);417;черная;;;;
88;Полка для обуви;603x404 мм;;;L9442WH;397;белая;;L9442GA;412;серая;;L9442BL;457;черная;;;;
89;Полка для обуви;903x404 мм;;;L9443WH;Нет в наличии;белая;;L9443GA;Нет в наличии;серая;;L9443BL;Нет в наличии;черная;;;;
90;Выдвижная;410x555 мм;;;L9444WH;494;белая;;L9444GA;494;серая;;L9444BL;569;черная;;;;
93;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);362;белая;;L9559GA(N);362;серая;;L9559BL(N);417;черная;;;;
95;Корзина на трении;590x424x100 мм;;;L9539WH;325;белая;;L9539GA;337;серая;;L9539BL;374;черная;;;;
96;Соединитель для перекладины;38x27x27 мм;;;L9703;Нет в наличии;черный;;L9703;Нет в наличии;черный;;L9703;Нет в наличии;черный;;;;
98;Рама. 3 уровня;565x435x350 мм;;;LWS3FWH(N);630;белая;;LWS3FGA(N);Нет в наличии;серая;;LWS3FBL(N);Нет в наличии;черная;;;;
100;Мелкосет. корзина;555x410x185 мм;;;L9560WH(N);467;белая;;L9560GA(N);467;серая;;L9560BL(N);538;черная;;;;
107;Крепление для ЛДСП полки;80x70x15;;;L9706WH;74;белое;;L9706GA;Нет в наличии;серое;;L9706BL;Нет в наличии;черное;;;;
108;Декоративная заглушка;421x17x8 мм;;;L6176WH;74;белая;;L6176GA;74;серая;;L6176BL;86;черная;;;;
109;Декоративная заглушка;321x17x8 мм;;;L6175WH;68;белая;;L6175GA;68;серая;;L6175BL;79;черная;;;;
110;Ограничители для корзин;30x37x12 мм;;;L6172;45;красный;;L6172;45;красный;;L6172;45;красный;;;;
166;Соединители для стойки;113х13х12 мм;;;L9711WH;41;белый;;L9711GA;41;серый;;L9711BL;48;черный;;;;
214;Мелкосетчатая полка;590х420х15 мм;;;L99M64WH;Нет в наличии;белый;;L99M64GA;Нет в наличии;серый;;L99M64BL;Нет в наличии;черный;;;;
215;Мелкосетчатая полка;890х420х15 мм;;;L99M94WH;Нет в наличии;белый;;L99M94GA;Нет в наличии;серый;;L99M94BL;Нет в наличии;черный;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
185;Не важно;Не важно;;;Не важно;Не важно;Не важно;;Не важно;Не важно;Не важно;;Не важно;Не важно;Не важно;;;;
189;189 Связь ;113х13х12 мм185_2;;;1;190;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
191;191 Связь ;113х13х12 мм185_4;;;3;390;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
193;193 Связь ;113х13х12 мм185_6;;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
187;187 Соединители для стойки;11############;;;5;590;белый;;L9711GA;90;серый;;L9711BL;90;черный;;;;
;;;;;;;;;;;;;;;;;;;
