<colorNew;;;;;m_8;;;;m_7;;;;m_38;;;;
81;Перекладина;2000 мм;;;L62R25CH200;360;хром;;L62R25CH200;360;хром;;L62R25CH200;360;хром;
82;Перекладина;1240 мм;;;L62R25CH124;245;хром;;L62R25CH124;245;хром;;L62R25CH124;245;хром;
83;Перекладина;940 мм;;;L62R25CH94;190;хром;;L62R25CH94;190;хром;;L62R25CH94;190;хром;
84;Перекладина;640 мм;;;L62R25CH64;140;хром;;L62R25CH64;140;хром;;L62R25CH64;140;хром;
86;Мелкосет. Корзина;555x410x185 мм;;;L9560WH(N);1150;белая;;L9560GA(N);1150;серая;;L9560BL(N);1265;черная;
87;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);750;белая;;L9559GA(N);750;серая;;L9559BL(N);825;черная;
88;Полка для обуви;603x404 мм;;;L9442WH;750;белая;;L9442GA;750;серая;;L9442BL;825;черная;
89;Полка для обуви;903x404 мм;;;L9443WH;1100;белая;;L9443GA;1100;серая;;L9443BL;Нет в наличии;черная;
90;Выдвижная;410x555 мм;;;L9444WH;825;белая;;L9444GA;825;серая;;L9444BL;Нет в наличии;черная;
93;Мелкосет. корзина;555x410x85 мм;;;L9559WH(N);750;белая;;L9559GA(N);750;серая;;L9559BL(N);825;черная;
95;Корзина на трении;590x424x100 мм;;;L9539WH;570;белая;;L9539GA;570;серая;;L9539BL;Нет в наличии;черная;
96;Соединитель для перекладины;38x27x27 мм;;;L9703;84;черный;;L9703;84;черный;;L9703;84;черный;
98;Рама. 3 уровня;565x435x350 мм;;;LWS3FWH(N);1300;белая;;LWS3FGA(N);1300;серая;;LWS3FBL(N);Нет в наличии;черная;
100;Мелкосет. корзина;555x410x185 мм;;;L9560WH(N);1150;белая;;L9560GA(N);1150;серая;;L9560BL(N);1265;черная;
107;Крепление для ЛДСП полки;80x70x15;;;L9706WH;167;белое;;L9706GA;167;серое;;L9706BL;Нет в наличии;черное;
108;Декоративная заглушка;421x17x8 мм;;;L6176WH;125;белая;;L6176GA;125;серая;;L6176BL;138;черная;
109;Декоративная заглушка;321x17x8 мм;;;L6175WH;115;белая;;L6175GA;115;серая;;L6175BL;Нет в наличии;черная;
110;Ограничители для корзин;30x37x12 мм;;;L6172;95;красный;;L6172;95;красный;;L6172;95;красный;
166;Соединители для стойки;113х13х12 мм;;;L9711WH;100;белый;;L9711GA;100;серый;;L9711BL;Нет в наличии;черный;
214;Мелкосетчатая полка;590х420х15 мм;;;L99M64WH;Нет в наличии;белый;;L99M64WH;Нет в наличии;серый;;L99M64WH;800;черный;
215;Мелкосетчатая полка;890х420х15 мм;;;L99M94WH;Нет в наличии;белый;;L99M94WH;Нет в наличии;серый;;L99M94WH;900;черный;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
14;Стойки;неужны для цвета;;;;0;0;0;0;0;0;0;0;0;0;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
<colorNew;Ящеки;;;;m_39;;;;m_40;;;;
186;0;0;0;;0;0;0;;0;0;0;;;;;
197;Корпус шкафа;500х2360х580 мм;2;;сн50х58;3199;дуб Сонома;;сн50х58;3199;ясень светлый;;;;;
198;Корпус шкафа;750х2360х580 мм;2;;сн75х58;3699;дуб Сонома;;сн75х58;3699;ясень светлый;;;;;
199;Корпус шкафа;1000х2360х580 мм;2;;сн100х58;3999;дуб Сонома;;сн100х58;3999;ясень светлый;;;;;
;;;;;;;;;;;;;;;;
209;0;0;0;;0;0;0;;0;0;0;;;;;
218;218 Связь 50_58;460х580 мм;2;;сн50х58;599;дуб Сонома;;сн50х58;599;ясень светлый;;;;;
219;219 Связь 75_58;710х580 мм;2;;сн75х58;799;дуб Сонома;;сн75х58;799;ясень светлый;;;;;
220;220 Связь 100_58 ;960х580 мм;2;;сн100х58;1999;дуб Сонома;;сн100х58;1999;ясень светлый;;;;;
;;;;;;;;;;;;;;;;
212;Держалка перила;35 мм6;2;22;5;590;белый;;L9711GA;90;серый;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
<colorNew;ТО что в ящичках;;;;m_8;;;;m_7;;;;
185;0;0;;;0;0;0;;0;0;0;;;;;
189;189 Связь ;113х13х12 мм185_2;2;;сн50х58;190;белый;;сн50х58;90;серый;;;;;
191;191 Связь ;113х13х12 мм185_4;2;;сн75х58;390;белый;;сн75х58;90;серый;;;;;
193;193 Связь ;113х13х12 мм185_6;2;;сн100х58;590;белый;;сн100х58;90;серый;;;;;
;;;;;;;;;;;;;;;;
200;Глубокая полка;0;;;0;0;0;;0;0;0;;;;;
201;Глубокая полка;46х58 мм;2;;сн50х58;590;белый;;сн50х58;90;серый;;;;;
202;Глубокая полка;71х58 мм;2;;сн75х58;590;белый;;сн75х58;90;серый;;;;;
203;Глубокая полка;96х58 мм;2;;сн100х58;590;белый;;сн100х58;90;серый;;;;;
;;;;;;;;;;;;;;;;
187;187 Соединители для стойки;11############;;;5;590;белый;;L9711GA;90;серый;;;;;
204;204 Железяка для плдки .._58;22############;666;;5;590;белый;;L9711GA;90;серый;;;;;

